"Model","Scenario","Region","Variable","Unit","2010","2015","2020","2025","2030","2035","2040","2045","2050"
"AIM/CGE 2.2","EN_INDCi2030_1400f","European Union (28 member countries)","Secondary Energy|Electricity|Oil","EJ/yr",0.3678999999999999,0.2488,0.268,0.2672,0.2436,0.2804,0.2578,0.2598,0.2536
"AIM/CGE 2.2","EN_INDCi2030_1400f","European Union (28 member countries)","Secondary Energy|Electricity","EJ/yr",12.0965,12.0298,13.1385,14.0097,15.6143,16.6939,18.8444,19.633,21.0809
"AIM/CGE 2.2","EN_INDCi2030_1400f","European Union (28 member countries)","Secondary Energy|Electricity|Coal","EJ/yr",3.0983,3.0137,2.8819,1.9602,1.3931,1.3014,1.0747,0.9748,0.8787999999999999
"AIM/CGE 2.2","EN_INDCi2030_1400f","European Union (28 member countries)","Secondary Energy|Electricity|Biomass|w/ CCS","EJ/yr",0,0,0,0,0.0013,0.0003,0.0117,0.0066,0.0143
"AIM/CGE 2.2","EN_INDCi2030_1400f","European Union (28 member countries)","Secondary Energy|Electricity|Geothermal","EJ/yr",0.0905,0.1307,0.1414,0.1548999999999999,0.1699999999999999,0.1865,0.2047999999999999,0.2246999999999999,0.2374
"AIM/CGE 2.2","EN_INDCi2030_1400f","European Union (28 member countries)","Secondary Energy|Electricity|Hydro","EJ/yr",1.3798,1.3519,1.4364,1.7421,1.8309,1.8709,1.9228,1.9228,1.9228
"AIM/CGE 2.2","EN_INDCi2030_1400f","European Union (28 member countries)","Secondary Energy|Electricity|Wind","EJ/yr",0.5296,1.0819,1.2648,1.7919,2.5833,2.9138,3.9093,4.3838,5.1254
"AIM/CGE 2.2","EN_INDCi2030_1400f","European Union (28 member countries)","Secondary Energy|Electricity|Gas|w/ CCS","EJ/yr",0,0,0,0,0.431,0.1571,0.884,0.9139,0.8846
"AIM/CGE 2.2","EN_INDCi2030_1400f","European Union (28 member countries)","Secondary Energy|Electricity|Gas|w/o CCS","EJ/yr",2.8766000000000003,2.1109,2.3819999999999997,2.6656,2.39,2.7352000000000003,2.021,1.9239,1.8851
"AIM/CGE 2.2","EN_INDCi2030_1400f","European Union (28 member countries)","Secondary Energy|Electricity|Oil|w/ CCS","EJ/yr",0,0,0,0,0.0412,0.0152,0.0785,0.0837,0.081
"AIM/CGE 2.2","EN_INDCi2030_1400f","European Union (28 member countries)","Secondary Energy|Electricity|Nuclear","EJ/yr",3.1181,2.95,3.2571,3.5962,3.9705,4.3138,4.7629,4.6269,4.566999999999998
