"Model","Scenario","Region","Variable","Unit","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"IMAGE 3.0","EN_INDCi2030_3000f","Turkey","Final Energy|Residential and Commercial|Residential|Electricity","EJ/yr",0.1115764999389648,0.1495670928955078,0.1884615020751953,0.2400724029541016,0.2896141052246094,0.3238402099609375,0.34824951171875,0.3731395874023438,0.3846701965332031,0.3912673034667969,"",0.4100210876464844,"",0.41935009765625,"",0.4084028015136719,"",0.37107470703125,"",0.3250546875
"REMIND-MAgPIE 2.1-4.2","SusDev_SDP-PkBudg1000","European Union (28 member countries)","Emissions|CO2|Energy|Demand|Residential and Commercial","Mt CO2/yr",667.015,647.9203,513.3514,492.3693,418.9971,375.8951,286.4982,162.7375,82.8446,13.5796,5.5699,3.5132,"",0.8064,"",0.7732,"",11.1055,"",11.1145
"REMIND-MAgPIE 2.1-4.2","SusDev_SDP-PkBudg1000","European Union (28 member countries)","Final Energy|Residential and Commercial|Heat","EJ/yr",1.5247,1.5536,1.3497,1.4222,1.6995,1.7528,1.6206,1.4802,1.3381,1.2252,1.1585,1.1448,"",1.1292,"",0.9670000000000001,"",0.6438,"",0.439
"REMIND-MAgPIE 2.1-4.2","SusDev_SDP-PkBudg1000","European Union (28 member countries)","Final Energy|Residential and Commercial","EJ/yr",19.4405,20.4678,17.7441,18.2269,17.663,17.3877,16.149,14.0204,12.2749,10.8509,9.8557,9.0386,"",8.0881,"",7.9014,"",7.2986,"",7.2501
"REMIND-MAgPIE 2.1-4.2","SusDev_SDP-PkBudg1000","European Union (28 member countries)","Final Energy|Residential and Commercial|Gases","EJ/yr",7.0324,7.439,6.0491,6.087000000000001,5.5203,4.9126,3.7798,2.2443,1.3184,0.5077,0.4913,0.5099,"",0.4044,"",0.3435,"",0.2713,"",0.3258
"REMIND-MAgPIE 2.1-4.2","SusDev_SDP-PkBudg1000","European Union (28 member countries)","Final Energy|Residential and Commercial|Electricity","EJ/yr",5.5667,6.2743,5.8003,6.4577,6.6394,7.0447,7.6372,7.8664,7.9057,7.6425,7.0184,6.4059,"",6.0836,"",6.1959,"",6.1129,"",6.12
"REMIND-MAgPIE 2.1-4.3","DeepElec_SSP2_ HighRE_Budg900","European Union (28 member countries)","Emissions|CO2|Energy|Demand|Residential and Commercial","Mt CO2/yr",666.3307,652.3312,536.4457,520.6758,450.3333,349.7579,241.2317,107.3826,38.6711,11.9904,7.7186,5.3703,"",3.2304,"",18.4882,"",20.8493,"",21.7222
"REMIND-MAgPIE 2.1-4.3","DeepElec_SSP2_ HighRE_Budg900","European Union (28 member countries)","Final Energy|Residential and Commercial|Heat","EJ/yr",1.5247,1.5672,1.2890000000000001,1.4537,1.4433,1.3381,1.3006,1.2984,1.4656,1.5124,1.3949,1.2662,"",1.0269,"",1.0303,"",1.0448,"",1.0312
"REMIND-MAgPIE 2.1-4.3","DeepElec_SSP2_ HighRE_Budg900","European Union (28 member countries)","Final Energy|Residential and Commercial","EJ/yr",19.4405,20.3268,17.7701,18.4451,17.949,17.4724,16.82,15.5182,14.9428,14.4918,14.1348,13.7835,"",13.794,"",14.0465,"",14.0355,"",14.6531
"REMIND-MAgPIE 2.1-4.3","DeepElec_SSP2_ HighRE_Budg900","European Union (28 member countries)","Final Energy|Residential and Commercial|Gases","EJ/yr",7.0324,7.3779,6.0919,6.1307,5.8208,5.1479,3.8631,1.9052,0.9826,0.5137,0.5168,0.5463,"",0.4982,"",0.3855,"",0.4424,"",0.5399
