"Model","Scenario","Region","Variable","Unit","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"AIM/CGE 2.2","EN_INDCi2030_800f","European Union (28 member countries)","Final Energy|Residential and Commercial|Residential","EJ/yr","",13.6263,11.8869,11.7703,11.3876,10.9912,11.0977,10.3436,10.1853,10.2638,10.2725,10.1703,10.0585,9.9817,9.9484,9.8604,9.748,9.6144,9.4624,9.3646
"AIM/CGE 2.2","EN_INDCi2030_900f","European Union (28 member countries)","Final Energy|Residential and Commercial","EJ/yr","",20.636999999999997,18.5392,18.7773,18.3616,17.895400000000006,18.4586,17.168300000000002,17.395300000000002,18.0743,18.1029,18.0837,18.3111,18.3782,18.5801,18.7073,18.7711,18.7887,18.7646,18.8475
"AIM/CGE 2.2","EN_INDCi2030_900f","European Union (28 member countries)","Population","million","",543.1753,555.2375,566.0332000000002,575.8299999999998,584.3076,591.5087,597.6834,602.7543,606.4699,608.6251,609.4235,608.5561,606.4975999999998,603.5309,599.7271,595.1283999999998,589.575,583.0518999999998,575.2474
"AIM/CGE 2.2","EN_INDCi2030_900f","European Union (28 member countries)","Final Energy|Residential and Commercial|Commercial","EJ/yr","",7.0107,6.6525,7.0070000000000014,6.974,6.9042,7.360900000000001,6.8235,7.0895,7.5886,7.749700000000002,7.8948,8.1833,8.3925,8.6477,8.8584,9.0329,9.1831,9.3111,9.4921
"AIM/CGE 2.2","EN_INDCi2030_900f","European Union (28 member countries)","Final Energy|Residential and Commercial|Residential","EJ/yr","",13.6263,11.8869,11.7703,11.3876,10.9912,11.0977,10.3448,10.3059,10.4857,10.3532,10.1888,10.1278,9.9856,9.9324,9.8488,9.7381,9.6056,9.4535,9.3555
"AIM/CGE 2.2","EN_NPi2020_1000","European Union (28 member countries)","Final Energy|Residential and Commercial","EJ/yr","",20.636999999999997,18.5392,18.7773,17.6734,17.2487,17.839399999999994,18.2558,18.4093,18.3061,17.9436,17.9661,18.2331,18.4534,18.6242,18.6994,18.715,18.6947,18.642,18.6844
"AIM/CGE 2.2","EN_NPi2020_1000","European Union (28 member countries)","Population","million","",543.1753,555.2375,566.0332000000002,575.8299999999998,584.3076,591.5087,597.6834,602.7543,606.4699,608.6251,609.4235,608.5561,606.4975999999998,603.5309,599.7271,595.1283999999998,589.575,583.0518999999998,575.2474
"AIM/CGE 2.2","EN_NPi2020_1000","European Union (28 member countries)","Final Energy|Residential and Commercial|Commercial","EJ/yr","",7.0107,6.6525,7.0070000000000014,6.6057,6.5579,7.0274,7.4014,7.6305,7.7174,7.6657,7.8264,8.1215,8.389100000000001,8.626000000000001,8.8114,8.9619,9.0939,9.2082,9.3671
"AIM/CGE 2.2","EN_NPi2020_1000","European Union (28 member countries)","Final Energy|Residential and Commercial|Residential","EJ/yr","",13.6263,11.8869,11.7703,11.0677,10.6909,10.812000000000001,10.8542,10.7789,10.5885,10.2777,10.1397,10.1117,10.0643,9.9981,9.8881,9.7531,9.6008,9.4338,9.3173
"AIM/CGE 2.2","EN_NPi2020_1000f","European Union (28 member countries)","Final Energy|Residential and Commercial","EJ/yr","",20.636999999999997,18.5392,18.7773,17.8774,17.7259,18.2223,18.4869,18.6106,18.566000000000006,18.3429,18.1903,18.1963,18.4116,18.594,18.5543,18.4181,18.3228,18.3528,18.5183
